table_name,column_name,total_rows,non_null_count,fill_rate_pct
patient,id,6383,6383,100.0
patient,gender,6383,6383,100.0
patient,birthDate,6383,6383,100.0
patient,deceasedDateTime,6383,1383,21.67
patient,maritalStatus,6383,6383,100.0
patient,state,6383,6383,100.0
patient,city,6383,6383,100.0
patient,postalCode,6383,6383,100.0
patient,race,6383,6383,100.0
patient,ethnicity,6383,6383,100.0
condition,id,264154,264154,100.0
condition,patient_id,264154,264154,100.0
condition,encounter_id,264154,264154,100.0
condition,code,264154,264154,100.0
condition,system,264154,264154,100.0
condition,display,264154,264154,100.0
condition,clinicalStatus,264154,264154,100.0
condition,verificationStatus,264154,264154,100.0
condition,onsetDateTime,264154,264154,100.0
condition,abatementDateTime,264154,196253,74.29
condition,recordedDate,264154,264154,100.0
observation,id,4886926,4886926,100.0
observation,patient_id,4886926,4886926,100.0
observation,encounter_id,4886926,4886926,100.0
observation,code,4886926,4886926,100.0
observation,system,4886926,4886926,100.0
observation,display,4886926,4886926,100.0
observation,category,4886926,4886926,100.0
observation,status,4886926,4886926,100.0
observation,effectiveDateTime,4886926,4886926,100.0
observation,valueQuantity,4886926,3746396,76.66
observation,unit,4886926,3746315,76.66
observation,valueCodeableConcept,4886926,937546,19.18
observation,valueCodeableConcept_system,4886926,937546,19.18
observation,valueString,4886926,2649,0.05
medication_request,id,471258,471258,100.0
medication_request,patient_id,471258,471258,100.0
medication_request,encounter_id,471258,471258,100.0
medication_request,code,471258,317214,67.31
medication_request,system,471258,317214,67.31
medication_request,display,471258,317214,67.31
medication_request,status,471258,471258,100.0
medication_request,intent,471258,471258,100.0
medication_request,authoredOn,471258,471258,100.0
medication_request,requester_npi,471258,471258,100.0
medication_request,requester_name,471258,471258,100.0
encounter,id,476212,476212,100.0
encounter,patient_id,476212,476212,100.0
encounter,class_code,476212,476212,100.0
encounter,type_code,476212,476212,100.0
encounter,type_system,476212,476212,100.0
encounter,type_display,476212,476212,100.0
encounter,status,476212,476212,100.0
encounter,period_start,476212,476212,100.0
encounter,period_end,476212,476212,100.0
encounter,reasonCode,476212,268679,56.42
encounter,participant_npi,476212,476212,100.0
encounter,participant_name,476212,476212,100.0
procedure,id,1028815,1028815,100.0
procedure,patient_id,1028815,1028815,100.0
procedure,encounter_id,1028815,1028815,100.0
procedure,code,1028815,1028815,100.0
procedure,system,1028815,1028815,100.0
procedure,display,1028815,1028815,100.0
procedure,status,1028815,1028815,100.0
procedure,performedDateTime,1028815,1028815,100.0
immunization,id,96288,96288,100.0
immunization,patient_id,96288,96288,100.0
immunization,encounter_id,96288,96288,100.0
immunization,vaccineCode,96288,96288,100.0
immunization,vaccineCode_system,96288,96288,100.0
immunization,vaccineCode_display,96288,96288,100.0
immunization,status,96288,96288,100.0
immunization,occurrenceDateTime,96288,96288,100.0
allergy,id,5504,5504,100.0
allergy,patient_id,5504,5504,100.0
allergy,code,5504,5504,100.0
allergy,system,5504,5504,100.0
allergy,display,5504,5504,100.0
allergy,clinicalStatus,5504,5504,100.0
allergy,verificationStatus,5504,5504,100.0
allergy,category,5504,5504,100.0
allergy,criticality,5504,5504,100.0
allergy,recordedDate,5504,5504,100.0
careplan,id,22743,22743,100.0
careplan,patient_id,22743,22743,100.0
careplan,encounter_id,22743,22743,100.0
careplan,category_code,22743,22743,100.0
careplan,category_system,22743,22743,100.0
careplan,category_display,22743,0,0.0
careplan,status,22743,22743,100.0
careplan,period_start,22743,22743,100.0
careplan,period_end,22743,10156,44.66
diagnostic_report,id,1014897,1014897,100.0
diagnostic_report,patient_id,1014897,1014897,100.0
diagnostic_report,encounter_id,1014897,1014897,100.0
diagnostic_report,code,1014897,1014897,100.0
diagnostic_report,system,1014897,1014897,100.0
diagnostic_report,display,1014897,1014897,100.0
diagnostic_report,category,1014897,790021,77.84
diagnostic_report,status,1014897,1014897,100.0
diagnostic_report,effectiveDateTime,1014897,1014897,100.0
